archivo,material,rugosidad,rugosidad_rms,asimetria,curtosis,espesor_promedio,altura_maxima,altura_minima,num_islas,densidad_islas,cobertura_fraccional,energia_difusion,tasa_eventos,energia_promedio,etapa,cobertura_10,cobertura_20,cobertura_30,cobertura_60
Cr_3d_altura_c001_s006_ed0.22_te50000._ep 2.0.dat,Cr,9.42944151898722,18.16066078092975,-0.38123494195865454,-1.0849914426706748,15.5208,30.0,0.0,1,0.0004,83.91999999999999,0.22,50000.0,0.0,crecimiento,70.12,37.24,0.0,0.0
Cr_3d_altura_c006_s002_ed0.06_te50000._ep 2.0.dat,Cr,4.583655065556308,6.178672996687881,0.6889238037516469,-0.7433235568093122,4.1432,19.0,0.0,12,0.0048,53.36,0.06,50000.0,0.0,coalescencia,11.72,0.0,0.0,0.0
Fe_3d_altura_c005_s003_ed0.90_te50000._ep 2.0.dat,Fe,6.42254434317117,9.897272351511804,0.25711544209502074,-1.111163080053987,7.5304,26.0,0.0,1,0.0004,68.8,0.9,50000.0,0.0,crecimiento,36.36,1.52,0.0,0.0
Cr_3d_altura_c007_s002_ed0.24_te50000._ep 2.0.dat,Cr,4.679087090448307,6.346715686085205,0.6820772908507684,-0.6851285513975642,4.288,19.0,0.0,6,0.0024,54.279999999999994,0.24,50000.0,0.0,coalescencia,12.0,0.0,0.0,0.0
Fe_3d_altura_c008_s002_ed0.51_te50000._ep 2.0.dat,Fe,4.896378482102869,6.55463195000299,0.8015720097106522,-0.41877011563037403,4.3576,21.0,0.0,14,0.0056,53.879999999999995,0.51,50000.0,0.0,coalescencia,14.280000000000001,0.04,0.0,0.0
Cr_3d_altura_c001_s005_ed0.22_te50000._ep 2.0.dat,Cr,9.42944151898722,18.16066078092975,-0.38123494195865454,-1.0849914426706748,15.5208,30.0,0.0,1,0.0004,83.91999999999999,0.22,50000.0,0.0,crecimiento,70.12,37.24,0.0,0.0
Cr_3d_altura_c002_s006_ed0.10_te50000._ep 2.0.dat,Cr,9.620219174218434,18.331895701208865,-0.3501508903347087,-1.141657838890307,15.6048,30.0,0.0,1,0.0004,83.72,0.1,50000.0,0.0,crecimiento,69.6,38.32,0.0,0.0
Fe_3d_altura_c003_s004_ed0.60_te50000._ep 2.0.dat,Fe,8.45338979581564,14.510299790149064,-0.062192181229045046,-1.2417385873572682,11.7936,30.0,0.0,1,0.0004,77.8,0.6,50000.0,0.0,crecimiento,57.08,17.52,0.0,0.0
Fe_3d_altura_c007_s002_ed0.55_te50000._ep 2.0.dat,Fe,4.697594550405558,6.30885092548556,0.7459110441271255,-0.5759503070403502,4.2112,20.0,0.0,4,0.0016,53.559999999999995,0.55,50000.0,0.0,coalescencia,12.44,0.0,0.0,0.0
Cr_3d_altura_c007_s003_ed0.24_te50000._ep 2.0.dat,Cr,6.577174238227235,10.062027628664115,0.2830132840401019,-1.1083832712377437,7.6148,25.0,0.0,1,0.0004,68.28,0.24,50000.0,0.0,crecimiento,36.4,1.96,0.0,0.0
Fe_3d_altura_c004_s005_ed0.76_te50000._ep 2.0.dat,Fe,9.399840883759682,17.961581222153022,-0.3491136005160564,-1.1135118096825554,15.3056,30.0,0.0,1,0.0004,83.72,0.76,50000.0,0.0,crecimiento,68.92,37.480000000000004,0.0,0.0
Fe_3d_altura_c009_s004_ed0.55_te50000._ep 2.0.dat,Fe,7.944437641520008,13.820057886998882,-0.11049826569338893,-1.1930513133291931,11.3084,30.0,0.0,1,0.0004,77.96,0.55,50000.0,0.0,crecimiento,57.440000000000005,12.72,0.0,0.0
Cr_3d_altura_c009_s006_ed0.25_te50000._ep 2.0.dat,Cr,9.545125801161554,17.753151832843653,-0.2868977843257816,-1.1846251819767917,14.9688,30.0,0.0,1,0.0004,82.48,0.25,50000.0,0.0,crecimiento,67.56,35.8,0.0,0.0
Cr_3d_altura_c006_s005_ed0.06_te50000._ep 2.0.dat,Cr,9.42150577349502,17.897027686182977,-0.34619416930690644,-1.1164401934059254,15.2164,30.0,0.0,1,0.0004,83.16,0.06,50000.0,0.0,crecimiento,69.56,35.52,0.0,0.0
Fe_3d_altura_c004_s006_ed0.76_te50000._ep 2.0.dat,Fe,9.399840883759682,17.961581222153022,-0.3491136005160564,-1.1135118096825554,15.3056,30.0,0.0,1,0.0004,83.72,0.76,50000.0,0.0,crecimiento,68.92,37.480000000000004,0.0,0.0
Fe_3d_altura_c003_s003_ed0.60_te50000._ep 2.0.dat,Fe,6.68498519370088,10.194292520817715,0.26554761081030553,-1.2104945267518852,7.6964,25.0,0.0,1,0.0004,68.04,0.6,50000.0,0.0,crecimiento,37.0,1.6400000000000001,0.0,0.0
Fe_3d_altura_c004_s002_ed0.76_te50000._ep 2.0.dat,Fe,4.633429468547028,6.283597695588094,0.6543504881880527,-0.800405382755601,4.2444,18.0,0.0,7,0.0028,53.959999999999994,0.76,50000.0,0.0,coalescencia,12.24,0.0,0.0,0.0
Fe_3d_altura_c008_s006_ed0.51_te50000._ep 2.0.dat,Fe,9.58197490291015,18.2427081322922,-0.35850996417046044,-1.1575028584384326,15.5236,30.0,0.0,1,0.0004,83.76,0.51,50000.0,0.0,crecimiento,69.12,39.08,0.0,0.0
